"animal_id","name","datetime","monthyear","date_of_birth","outcome_type","outcome_subtype","animal_type","sex_upon_outcome","age_upon_outcome","breed","color"
"A828203",,"2021-01-13T16:33:00.000","2021-01-13T16:33:00.000","2008-01-11T00:00:00.000","Transfer","Partner","Cat","Intact Female","13 years","Domestic Shorthair","Brown Tabby"
"A820012","Sadie","2021-01-13T16:03:00.000","2021-01-13T16:03:00.000","2019-10-09T00:00:00.000","Return to Owner",,"Dog","Spayed Female","1 year","Labrador Retriever","Black"
"A820013","Dubi","2021-01-13T16:03:00.000","2021-01-13T16:03:00.000","2019-10-09T00:00:00.000","Return to Owner",,"Dog","Neutered Male","1 year","Labrador Retriever/Pit Bull","Black"
"A827682",,"2021-01-13T15:11:00.000","2021-01-13T15:11:00.000","2017-12-29T00:00:00.000","Transfer","Snr","Cat","Neutered Male","3 years","Domestic Shorthair","White"
"A828206","Baby","2021-01-13T14:31:00.000","2021-01-13T14:31:00.000","2020-07-11T00:00:00.000","Return to Owner",,"Dog","Intact Female","6 months","Flat Coat Retriever Mix","Black/White"
"A826773","*Nod","2021-01-13T14:20:00.000","2021-01-13T14:20:00.000","2020-11-05T00:00:00.000","Adoption","Foster","Cat","Neutered Male","2 months","Domestic Shorthair","Brown Tabby/White"
"A826772","*Blynken","2021-01-13T14:15:00.000","2021-01-13T14:15:00.000","2020-11-05T00:00:00.000","Adoption","Foster","Cat","Neutered Male","2 months","Domestic Shorthair","Brown Tabby"
"A821612","*Brocade","2021-01-13T14:10:00.000","2021-01-13T14:10:00.000","2020-07-08T00:00:00.000","Adoption","Foster","Cat","Neutered Male","6 months","Domestic Shorthair","Blue Tabby/White"
"A825801","*Hero","2021-01-13T14:07:00.000","2021-01-13T14:07:00.000","2011-11-12T00:00:00.000","Adoption","Foster","Dog","Neutered Male","9 years","Labrador Retriever/Australian Shepherd","Tricolor"
"A826154",,"2021-01-13T13:29:00.000","2021-01-13T13:29:00.000","2020-10-20T00:00:00.000","Adoption","Foster","Dog","Neutered Male","2 months","Pit Bull Mix","Chocolate/White"
"A808096","Cat Mccoy","2021-01-13T12:46:00.000","2021-01-13T12:46:00.000","2008-11-04T00:00:00.000","Adoption",,"Cat","Neutered Male","12 years","Domestic Shorthair","Orange Tabby/White"
"A827697","Abby","2021-01-13T11:33:00.000","2021-01-13T11:33:00.000","2014-04-29T00:00:00.000","Adoption",,"Cat","Spayed Female","6 years","Domestic Shorthair","Calico"
"A828179",,"2021-01-13T10:36:00.000","2021-01-13T10:36:00.000","2020-01-09T00:00:00.000","Euthanasia","Suffering","Other","Unknown","1 year","Raccoon","Black/Gray"
"A826771","*Wynken","2021-01-13T10:15:00.000","2021-01-13T10:15:00.000","2020-11-05T00:00:00.000","Adoption","Foster","Cat","Neutered Male","2 months","Domestic Shorthair","Brown Tabby"
"A702464","Bella","2021-01-13T10:11:00.000","2021-01-13T10:11:00.000","2012-05-14T00:00:00.000","Adoption","Foster","Dog","Spayed Female","8 years","Great Pyrenees Mix","White/Brown"
"A823719","*Salsa","2021-01-13T10:05:00.000","2021-01-13T10:05:00.000","2020-08-29T00:00:00.000","Adoption","Foster","Cat","Spayed Female","4 months","Domestic Shorthair","Torbie"
"A821639",,"2021-01-13T09:56:00.000","2021-01-13T09:56:00.000","2020-07-14T00:00:00.000","Adoption","Foster","Cat","Neutered Male","6 months","Domestic Shorthair","Black/White"
"A821997","Citrina","2021-01-13T09:53:00.000","2021-01-13T09:53:00.000","2020-03-24T00:00:00.000","Adoption","Foster","Cat","Spayed Female","9 months","Domestic Shorthair","Calico/White"
"A747806","Goldie","2021-01-13T09:48:00.000","2021-01-13T09:48:00.000","2017-04-11T00:00:00.000","Adoption","Foster","Cat","Spayed Female","3 years","Domestic Longhair","Calico"
"A828222","*Cleopatra","2021-01-12T18:33:00.000","2021-01-12T18:33:00.000","2017-01-11T00:00:00.000","Transfer","Partner","Cat","Spayed Female","4 years","Domestic Shorthair Mix","Tortie"
"A828219",,"2021-01-12T18:33:00.000","2021-01-12T18:33:00.000","2018-01-11T00:00:00.000","Transfer","Partner","Cat","Neutered Male","3 years","Domestic Shorthair Mix","Orange Tabby"
"A828221",,"2021-01-12T18:33:00.000","2021-01-12T18:33:00.000","2018-01-11T00:00:00.000","Transfer","Partner","Cat","Spayed Female","3 years","Domestic Shorthair Mix","Tortie"
"A828220","*Pika","2021-01-12T18:32:00.000","2021-01-12T18:32:00.000","2020-01-11T00:00:00.000","Transfer","Partner","Cat","Spayed Female","1 year","Domestic Shorthair Mix","Orange Tabby"
"A700839","*Turkey","2021-01-12T18:07:00.000","2021-01-12T18:07:00.000","2014-04-20T00:00:00.000",,,"Dog","Neutered Male","6 years","Pit Bull Mix","Blue"
"A815695","King","2021-01-12T17:59:00.000","2021-01-12T17:59:00.000","2019-12-08T00:00:00.000","Return to Owner",,"Dog","Neutered Male","1 year","German Shepherd","Brown"
"A828070","*Tucker","2021-01-12T17:49:00.000","2021-01-12T17:49:00.000","2020-10-22T00:00:00.000","Adoption",,"Dog","Neutered Male","2 months","Labrador Retriever Mix","Black/White"
"A828129",,"2021-01-12T16:03:00.000","2021-01-12T16:03:00.000","2019-01-08T00:00:00.000","Adoption",,"Cat","Neutered Male","2 years","Abyssinian","Brown/Black"
"A828169",,"2021-01-12T15:48:00.000","2021-01-12T15:48:00.000","2019-01-09T00:00:00.000","Return to Owner",,"Cat","Intact Male","2 years","Domestic Shorthair","Black"
"A828047","Muddy","2021-01-12T15:00:00.000","2021-01-12T15:00:00.000","2019-01-06T00:00:00.000","Transfer","Partner","Cat","Spayed Female","2 years","Domestic Shorthair","Black/White"
"A825790","*Wolfie","2021-01-12T14:40:00.000","2021-01-12T14:40:00.000","2020-11-06T00:00:00.000","Adoption","Foster","Dog","Spayed Female","2 months","Chihuahua Shorthair Mix","Tan"
"A820280","Xerxes","2021-01-12T14:30:00.000","2021-01-12T14:30:00.000","2018-07-16T00:00:00.000","Adoption","Foster","Dog","Neutered Male","2 years","German Shepherd","White/Yellow"
"A828275",,"2021-01-12T13:00:00.000","2021-01-12T13:00:00.000","2020-01-12T00:00:00.000","Transfer","Partner","Cat","Intact Male","1 year","Domestic Shorthair","Brown Tabby/White"
"A826195","*Waylon","2021-01-12T12:42:00.000","2021-01-12T12:42:00.000","2009-11-25T00:00:00.000","Adoption","Foster","Dog","Neutered Male","11 years","Beagle","Brown"
"A828073","*Ernest","2021-01-12T12:37:00.000","2021-01-12T12:37:00.000","2020-01-06T00:00:00.000","Adoption",,"Other","Intact Male","1 year","Rabbit Sh","Black/White"
"A826690","*Mistletoe","2021-01-12T12:28:00.000","2021-01-12T12:28:00.000","2020-10-24T00:00:00.000","Adoption","Foster","Cat","Spayed Female","2 months","Domestic Shorthair","Black/White"
"A827343","Sushi","2021-01-12T12:27:00.000","2021-01-12T12:27:00.000","2020-02-18T00:00:00.000","Transfer","Partner","Dog","Neutered Male","10 months","Catahoula Mix","Brown Merle/White"
"A827302","*Tati","2021-01-12T12:26:00.000","2021-01-12T12:26:00.000","2018-12-18T00:00:00.000","Transfer","Partner","Dog","Intact Female","2 years","Labrador Retriever Mix","Brown/White"
"A827523","*Simon","2021-01-12T12:26:00.000","2021-01-12T12:26:00.000","2018-12-23T00:00:00.000","Transfer","Partner","Dog","Neutered Male","2 years","Boxer","Red/Black"
"A827209","*Bones","2021-01-12T12:25:00.000","2021-01-12T12:25:00.000","2018-12-16T00:00:00.000","Transfer","Partner","Dog","Neutered Male","2 years","Australian Cattle Dog Mix","Tricolor"
"A826981","Baby Girl","2021-01-12T12:22:00.000","2021-01-12T12:22:00.000","2012-12-10T00:00:00.000","Transfer","Partner","Dog","Intact Female","8 years","Labrador Retriever","Black"
"A821961","*Marie","2021-01-12T12:00:00.000","2021-01-12T12:00:00.000","2019-08-24T00:00:00.000","Adoption","Foster","Cat","Spayed Female","1 year","American Shorthair","Calico"
"A825805","Calico","2021-01-12T11:08:00.000","2021-01-12T11:08:00.000","2006-11-12T00:00:00.000","Adoption","Foster","Cat","Spayed Female","14 years","Domestic Shorthair","Calico"
"A828089","Terrance","2021-01-12T10:57:00.000","2021-01-12T10:57:00.000","2020-05-07T00:00:00.000","Return to Owner",,"Cat","Neutered Male","8 months","Domestic Shorthair","White/Brown"
"A828131",,"2021-01-11T18:06:00.000","2021-01-11T18:06:00.000","2018-01-08T00:00:00.000","Return to Owner",,"Dog","Intact Female","3 years","German Shepherd","Black/Brown"
"A828132",,"2021-01-11T18:06:00.000","2021-01-11T18:06:00.000","2018-01-08T00:00:00.000","Return to Owner",,"Dog","Intact Male","3 years","German Shepherd","Brown/Black"
"A828225","Bambi","2021-01-11T17:41:00.000","2021-01-11T17:41:00.000","2013-01-11T00:00:00.000","Transfer","Partner","Dog","Intact Female","8 years","Pomeranian Mix","Tan"
"A828224","Bimbo","2021-01-11T17:40:00.000","2021-01-11T17:40:00.000","2013-01-11T00:00:00.000","Transfer","Partner","Dog","Intact Male","8 years","Pomeranian Mix","Red/Tan"
"A826298","Harley","2021-01-11T17:23:00.000","2021-01-11T17:23:00.000","2017-11-23T00:00:00.000","Adoption",,"Dog","Spayed Female","3 years","Australian Kelpie Mix","Brown/Black"
"A828027","Sunshine","2021-01-11T17:06:00.000","2021-01-11T17:06:00.000","2020-11-05T00:00:00.000","Adoption",,"Dog","Spayed Female","2 months","Chinese Sharpei/German Shepherd","Brown/Black"
"A825881","Bosco","2021-01-11T16:55:00.000","2021-01-11T16:55:00.000","2020-09-13T00:00:00.000","Adoption",,"Dog","Neutered Male","3 months","Plott Hound Mix","Brown Brindle/White"
"A827418","Bebe","2021-01-11T16:22:00.000","2021-01-11T16:22:00.000","2020-02-21T00:00:00.000","Adoption",,"Cat","Spayed Female","10 months","Domestic Shorthair","Brown Tabby"
"A827419","Little Sister","2021-01-11T16:22:00.000","2021-01-11T16:22:00.000","2020-02-21T00:00:00.000","Adoption",,"Cat","Spayed Female","10 months","Domestic Shorthair","Brown Tabby"
"A814224","Gizmo","2021-01-11T15:53:00.000","2021-01-11T15:53:00.000","2018-02-26T00:00:00.000","Adoption",,"Dog","Neutered Male","2 years","Labrador Retriever","Red/White"
"A827345","*Antonio","2021-01-11T15:30:00.000","2021-01-11T15:30:00.000","2020-06-18T00:00:00.000","Adoption",,"Cat","Neutered Male","6 months","Domestic Shorthair","Cream Tabby"
"A827906","*Mr Spock","2021-01-11T15:24:00.000","2021-01-11T15:24:00.000","2019-01-03T00:00:00.000","Adoption",,"Dog","Neutered Male","2 years","Blue Lacy Mix","Brown"
"A825602","Beethoven","2021-01-11T14:20:00.000","2021-01-11T14:20:00.000","2020-04-07T00:00:00.000","Adoption",,"Dog","Neutered Male","9 months","German Shepherd Mix","Tan/Black"
"A828067",,"2021-01-11T13:20:00.000","2021-01-11T13:20:00.000","2019-01-06T00:00:00.000","Transfer","Partner","Dog","Intact Male","2 years","Chihuahua Shorthair","Cream/Gold"
"A827991","*Seymour","2021-01-11T13:20:00.000","2021-01-11T13:20:00.000","2019-01-05T00:00:00.000","Transfer","Partner","Dog","Intact Male","2 years","Scottish Terrier/Dachshund","Tan"
"A827404","Benny","2021-01-11T11:54:00.000","2021-01-11T11:54:00.000","2011-01-05T00:00:00.000","Adoption",,"Dog","Neutered Male","10 years","Labrador Retriever","Black/White"
"A825249","*Peanut","2021-01-11T11:39:00.000","2021-01-11T11:39:00.000","2018-10-30T00:00:00.000","Transfer","Partner","Dog","Spayed Female","2 years","Australian Cattle Dog Mix","Brown Brindle/White"
"A792883","*Lady Blue","2021-01-11T11:38:00.000","2021-01-11T11:38:00.000","2017-04-16T00:00:00.000","Transfer","Partner","Dog","Spayed Female","3 years","Pit Bull Mix","Blue/White"
"A828187",,"2021-01-11T09:36:00.000","2021-01-11T09:36:00.000","2020-01-10T00:00:00.000","Disposal",,"Other","Unknown","1 year","Fox","Gray/Brown"
"A828037",,"2021-01-10T12:35:00.000","2021-01-10T12:35:00.000","2020-01-05T00:00:00.000","Adoption","Foster","Other","Intact Male","1 year","Hamster","White"
"A828035",,"2021-01-10T12:06:00.000","2021-01-10T12:06:00.000","2020-07-22T00:00:00.000","Transfer","Partner","Dog","Intact Female","5 months","Labrador Retriever/Collie Smooth","Brown/White"
"A827315","Atticus","2021-01-10T11:43:00.000","2021-01-10T11:43:00.000","2011-12-18T00:00:00.000","Adoption",,"Dog","Neutered Male","9 years","Labrador Retriever","Chocolate"
"A827314","Rowdy","2021-01-10T11:43:00.000","2021-01-10T11:43:00.000","2012-12-18T00:00:00.000","Adoption",,"Dog","Neutered Male","8 years","Border Collie Mix","Black/White"
"A827969",,"2021-01-09T17:52:00.000","2021-01-09T17:52:00.000","2019-01-04T00:00:00.000","Adoption",,"Dog","Spayed Female","2 years","Pointer/Australian Cattle Dog","White/Brown Brindle"
"A821476","Thomas","2021-01-09T16:31:00.000","2021-01-09T16:31:00.000","2019-02-12T00:00:00.000","Adoption",,"Dog","Neutered Male","1 year","Labrador Retriever Mix","Black/White"
"A822416","*Butters","2021-01-09T15:07:00.000","2021-01-09T15:07:00.000","2020-02-04T00:00:00.000","Adoption",,"Cat","Spayed Female","11 months","Domestic Shorthair","Torbie"
