"animal_id","name","datetime","monthyear","date_of_birth","outcome_type","outcome_subtype","animal_type","sex_upon_outcome","age_upon_outcome","breed","color"
"A818216","*Leon","2021-01-07T15:45:00.000","2021-01-07T15:45:00.000","2020-03-03T00:00:00.000","Adoption",,"Cat","Neutered Male","10 months","Domestic Shorthair","Orange Tabby/White"
"A818215","*Pickles","2021-01-07T15:42:00.000","2021-01-07T15:42:00.000","2020-03-03T00:00:00.000","Adoption",,"Cat","Neutered Male","10 months","Domestic Shorthair","Cream Tabby/White"
"A764109","Max","2021-01-07T15:41:00.000","2021-01-07T15:41:00.000","2017-10-21T00:00:00.000","Adoption","Foster","Cat","Neutered Male","3 years","Domestic Shorthair Mix","Orange Tabby/White"
"A824940","*Yogi","2021-01-07T15:24:00.000","2021-01-07T15:24:00.000","2020-10-01T00:00:00.000","Adoption","Foster","Cat","Spayed Female","3 months","Domestic Shorthair","Torbie"
"A824941","*Azul","2021-01-07T15:21:00.000","2021-01-07T15:21:00.000","2020-10-01T00:00:00.000","Adoption","Foster","Cat","Spayed Female","3 months","Domestic Shorthair","Brown Tabby"
"A825789","*Randy","2021-01-07T15:10:00.000","2021-01-07T15:10:00.000","2020-11-06T00:00:00.000","Adoption","Foster","Dog","Neutered Male","2 months","Chihuahua Shorthair Mix","Brown/White"
"A825788","Tiny","2021-01-07T15:07:00.000","2021-01-07T15:07:00.000","2018-11-12T00:00:00.000","Adoption","Foster","Dog","Spayed Female","2 years","Chihuahua Shorthair","Brown/White"
"A827888",,"2021-01-07T15:06:00.000","2021-01-07T15:06:00.000","2020-06-03T00:00:00.000","Transfer","Partner","Dog","Intact Male","7 months","Pit Bull","Brown/White"
"A789186","Finn","2021-01-07T14:58:00.000","2021-01-07T14:58:00.000","2017-02-19T00:00:00.000","Adoption","Foster","Dog","Neutered Male","3 years","Australian Shepherd/Border Collie","Black/Tricolor"
"A826920","Zel","2021-01-07T14:27:00.000","2021-01-07T14:27:00.000","2020-08-19T00:00:00.000","Adoption",,"Dog","Spayed Female","4 months","German Shepherd","Black/Brown"
"A827917",,"2021-01-07T13:29:00.000","2021-01-07T13:29:00.000","2019-01-03T00:00:00.000","Euthanasia","At Vet","Cat","Unknown","2 years","Domestic Shorthair","Black"
"A761479","Baby Girl","2021-01-07T13:19:00.000","2021-01-07T13:19:00.000","2017-03-06T00:00:00.000","Transfer","Partner","Dog","Spayed Female","3 years","Doberman Pinsch Mix","Black/Brown"
"A827240","Ross 8","2021-01-07T12:40:00.000","2021-01-07T12:40:00.000","2019-12-16T00:00:00.000","Return to Owner",,"Cat","Neutered Male","1 year","Domestic Shorthair Mix","Black/White"
"A827627",,"2021-01-07T12:36:00.000","2021-01-07T12:36:00.000","2018-12-28T00:00:00.000","Adoption",,"Other","Intact Male","2 years","Rabbit Sh","Brown Brindle"
"A777512","Envy","2021-01-07T12:31:00.000","2021-01-07T12:31:00.000","2018-03-29T00:00:00.000","Return to Owner",,"Dog","Intact Female","2 years","Siberian Husky/German Shepherd","Black/Tan"
"A828065","Elliot","2021-01-07T12:23:00.000","2021-01-07T12:23:00.000","2019-01-06T00:00:00.000","Return to Owner",,"Dog","Intact Male","2 years","Miniature Poodle/Maltese","Black"
"A828068","Binky","2021-01-07T12:22:00.000","2021-01-07T12:22:00.000","2019-01-06T00:00:00.000","Return to Owner",,"Dog","Intact Female","2 years","Miniature Poodle/Maltese","Black"
"A822745",,"2021-01-07T12:09:00.000","2021-01-07T12:09:00.000","2020-08-25T00:00:00.000","Adoption","Foster","Cat","Neutered Male","4 months","Domestic Shorthair","Orange Tabby"
"A822585","*Daisy","2021-01-07T12:05:00.000","2021-01-07T12:05:00.000","2020-07-29T00:00:00.000","Adoption","Foster","Cat","Spayed Female","5 months","Domestic Medium Hair","Tortie"
"A822586","*Iris","2021-01-07T12:05:00.000","2021-01-07T12:05:00.000","2020-07-29T00:00:00.000","Adoption","Foster","Cat","Spayed Female","5 months","Domestic Medium Hair","Torbie"
"A822588","*Marigold","2021-01-07T12:05:00.000","2021-01-07T12:05:00.000","2020-07-29T00:00:00.000","Adoption","Foster","Cat","Spayed Female","5 months","Domestic Medium Hair","Torbie"
"A823338","*Nutmeg","2021-01-07T11:56:00.000","2021-01-07T11:56:00.000","2020-07-22T00:00:00.000","Adoption","Foster","Cat","Spayed Female","5 months","Domestic Shorthair","Blue Cream"
"A827347","*Alistair","2021-01-07T11:28:00.000","2021-01-07T11:28:00.000","2020-06-18T00:00:00.000","Adoption","Foster","Cat","Neutered Male","6 months","Domestic Shorthair","Cream Tabby"
"A827967",,"2021-01-07T11:27:00.000","2021-01-07T11:27:00.000","2011-01-04T00:00:00.000","Transfer","Partner","Cat","Spayed Female","10 years","Domestic Longhair","Brown Tabby/White"
"A826718","*Omar Little","2021-01-07T11:26:00.000","2021-01-07T11:26:00.000","2018-09-04T00:00:00.000","Transfer","Partner","Cat","Neutered Male","2 years","Domestic Shorthair","Black/White"
"A827801",,"2021-01-07T11:09:00.000","2021-01-07T11:09:00.000","2020-07-01T00:00:00.000","Adoption",,"Dog","Neutered Male","6 months","Labrador Retriever Mix","White/Brown"
"A828016",,"2021-01-07T11:00:00.000","2021-01-07T11:00:00.000","2020-11-20T00:00:00.000","Transfer","Partner","Dog","Intact Male","1 month","Labrador Retriever","Black/White"
"A828014",,"2021-01-07T11:00:00.000","2021-01-07T11:00:00.000","2020-11-20T00:00:00.000","Transfer","Partner","Dog","Intact Female","1 month","Labrador Retriever","White/Black"
"A828015",,"2021-01-07T11:00:00.000","2021-01-07T11:00:00.000","2020-11-20T00:00:00.000","Transfer","Partner","Dog","Intact Female","1 month","Labrador Retriever","White/Black"
"A823689","*Icarus","2021-01-07T10:36:00.000","2021-01-07T10:36:00.000","2020-02-04T00:00:00.000","Adoption","Foster","Cat","Neutered Male","11 months","Domestic Medium Hair","Orange Tabby"
"A827614","*Winston","2021-01-07T09:56:00.000","2021-01-07T09:56:00.000","2019-12-27T00:00:00.000","Transfer","Partner","Other","Intact Male","1 year","Guinea Pig","Tricolor"
"A827615","*Schmidt","2021-01-07T09:56:00.000","2021-01-07T09:56:00.000","2019-12-27T00:00:00.000","Transfer","Partner","Other","Intact Male","1 year","Guinea Pig","White"
"A828051",,"2021-01-07T09:55:00.000","2021-01-07T09:55:00.000","2021-01-05T00:00:00.000","Transfer","Partner","Other","Unknown","2 days","Hamster","Tan"
"A828054",,"2021-01-07T09:54:00.000","2021-01-07T09:54:00.000","2021-01-05T00:00:00.000","Transfer","Partner","Other","Unknown","2 days","Hamster","Tan"
"A828053",,"2021-01-07T09:54:00.000","2021-01-07T09:54:00.000","2021-01-05T00:00:00.000","Transfer","Partner","Other","Unknown","2 days","Hamster","Tan"
"A828055",,"2021-01-07T09:54:00.000","2021-01-07T09:54:00.000","2021-01-05T00:00:00.000","Transfer","Partner","Other","Unknown","2 days","Hamster","Tan"
"A828052",,"2021-01-07T09:54:00.000","2021-01-07T09:54:00.000","2021-01-05T00:00:00.000","Transfer","Partner","Other","Unknown","2 days","Hamster","Tan"
"A828057",,"2021-01-07T09:53:00.000","2021-01-07T09:53:00.000","2021-01-05T00:00:00.000","Transfer","Partner","Other","Unknown","2 days","Hamster","Tan"
"A828056",,"2021-01-07T09:53:00.000","2021-01-07T09:53:00.000","2021-01-05T00:00:00.000","Transfer","Partner","Other","Unknown","2 days","Hamster","Tan"
"A828041",,"2021-01-07T09:53:00.000","2021-01-07T09:53:00.000","2020-10-06T00:00:00.000","Transfer","Partner","Other","Intact Female","3 months","Hamster","White"
"A828042",,"2021-01-07T09:53:00.000","2021-01-07T09:53:00.000","2020-01-05T00:00:00.000","Transfer","Partner","Other","Intact Female","1 year","Hamster","White"
"A828038",,"2021-01-07T09:52:00.000","2021-01-07T09:52:00.000","2020-10-06T00:00:00.000","Transfer","Partner","Other","Intact Female","3 months","Hamster","White"
"A828040",,"2021-01-07T09:52:00.000","2021-01-07T09:52:00.000","2020-10-06T00:00:00.000","Transfer","Partner","Other","Intact Female","3 months","Hamster","Tan"
"A824921","*Cheese","2021-01-07T08:09:00.000","2021-01-07T08:09:00.000","2020-08-28T00:00:00.000","Adoption","Foster","Cat","Neutered Male","4 months","Snowshoe","Lilac Point"
"A828017","Noodle","2021-01-06T18:00:00.000","2021-01-06T18:00:00.000","2019-01-05T00:00:00.000","Return to Owner",,"Dog","Intact Female","2 years","Chihuahua Shorthair/Dachshund","Fawn/White"
"A827417","Roxy","2021-01-06T17:59:00.000","2021-01-06T17:59:00.000","2019-09-01T00:00:00.000","Return to Owner",,"Dog","Spayed Female","1 year","Labrador Retriever Mix","Tan/White"
"A825076","*Nova","2021-01-06T17:51:00.000","2021-01-06T17:51:00.000","2018-10-27T00:00:00.000","Adoption",,"Dog","Spayed Female","2 years","Australian Kelpie/Siberian Husky","Brown Brindle/White"
"A819285","Percy","2021-01-06T17:51:00.000","2021-01-06T17:51:00.000","2018-06-25T00:00:00.000","Adoption",,"Dog","Neutered Male","2 years","American Pit Bull Terrier","Brown/White"
"A827574","*Speedy","2021-01-06T17:40:00.000","2021-01-06T17:40:00.000","2020-03-28T00:00:00.000","Adoption",,"Dog","Neutered Male","9 months","Basenji/Australian Kelpie","Tricolor"
"A827807","*Riley","2021-01-06T16:56:00.000","2021-01-06T16:56:00.000","2017-12-31T00:00:00.000","Adoption",,"Dog","Spayed Female","3 years","Beagle/Dachshund","Red Tick"
"A827824","*Cowboy","2021-01-06T16:29:00.000","2021-01-06T16:29:00.000","2020-10-31T00:00:00.000","Adoption",,"Dog","Neutered Male","2 months","Pit Bull","Chocolate"
"A827738","*Maggie","2021-01-06T16:05:00.000","2021-01-06T16:05:00.000","2018-12-30T00:00:00.000","Adoption",,"Dog","Spayed Female","2 years","Great Dane","Black/White"
"A827973",,"2021-01-06T16:05:00.000","2021-01-06T16:05:00.000","2020-09-04T00:00:00.000","Adoption",,"Dog","Spayed Female","4 months","Basset Hound Mix","White/Black"
"A813682","Jax","2021-01-06T16:05:00.000","2021-01-06T16:05:00.000","2018-08-16T00:00:00.000","Adoption",,"Dog","Neutered Male","2 years","Siberian Husky","Gray/Black"
"A827482","*Mo","2021-01-06T15:10:00.000","2021-01-06T15:10:00.000","2017-12-22T00:00:00.000","Adoption",,"Dog","Neutered Male","3 years","German Shepherd Mix","Tan/Black"
"A823661","Apollo Buddy","2021-01-06T15:09:00.000","2021-01-06T15:09:00.000","2019-12-28T00:00:00.000","Return to Owner",,"Dog","Intact Male","1 year","Dachshund/Chihuahua Shorthair","Brown"
"A824742",,"2021-01-06T13:54:00.000","2021-01-06T13:54:00.000","2020-09-15T00:00:00.000","Adoption","Foster","Cat","Neutered Male","3 months","Domestic Shorthair Mix","Orange Tabby/White"
"A828021","Hax","2021-01-06T13:48:00.000","2021-01-06T13:48:00.000","2010-01-05T00:00:00.000","Return to Owner",,"Dog","Intact Female","11 years","Siberian Husky","Black/White"
"A815074","Victor","2021-01-06T13:32:00.000","2021-01-06T13:32:00.000","2006-03-10T00:00:00.000","Adoption","Foster","Dog","Neutered Male","14 years","Rat Terrier","Tricolor"
"A825002","Timmy","2021-01-06T13:02:00.000","2021-01-06T13:02:00.000","2012-10-26T00:00:00.000","Adoption",,"Cat","Neutered Male","8 years","Manx Mix","Brown Tabby"
"A812265","*Kipo","2021-01-06T12:58:00.000","2021-01-06T12:58:00.000","2018-07-18T00:00:00.000","Adoption","Foster","Dog","Neutered Male","2 years","Pit Bull","Blue/White"
"A827936",,"2021-01-06T12:38:00.000","2021-01-06T12:38:00.000","2020-03-04T00:00:00.000","Return to Owner",,"Dog","Intact Male","10 months","Miniature Schnauzer Mix","Black"
"A824835","*Kodiak","2021-01-06T11:59:00.000","2021-01-06T11:59:00.000","2020-04-22T00:00:00.000","Adoption","Foster","Dog","Neutered Male","8 months","German Shepherd/Alaskan Husky","Black/Brown"
"A827811",,"2021-01-06T11:35:00.000","2021-01-06T11:35:00.000","2014-01-01T00:00:00.000","Transfer","Partner","Dog","Neutered Male","7 years","Miniature Poodle","White"
"A827699","*Lulu","2021-01-06T11:19:00.000","2021-01-06T11:19:00.000","2020-07-29T00:00:00.000","Adoption",,"Dog","Spayed Female","5 months","Australian Cattle Dog","Brown Brindle/White"
"A797116","Zola","2021-01-06T10:43:00.000","2021-01-06T10:43:00.000","2013-06-09T00:00:00.000","Adoption","Foster","Dog","Spayed Female","7 years","Australian Cattle Dog/Labrador Retriever","Black/White"
"A821128","Oreo","2021-01-06T10:22:00.000","2021-01-06T10:22:00.000","2019-07-04T00:00:00.000","Rto-Adopt",,"Cat","Neutered Male","1 year","Domestic Medium Hair","White/Black"
"A825106","Luey","2021-01-06T09:25:00.000","2021-01-06T09:25:00.000","2018-10-28T00:00:00.000","Rto-Adopt",,"Cat","Neutered Male","2 years","Domestic Shorthair","Blue"
"A824939","*Bernie","2021-01-06T09:24:00.000","2021-01-06T09:24:00.000","2020-10-01T00:00:00.000","Adoption","Foster","Cat","Neutered Male","3 months","Domestic Shorthair","Brown Tabby"
"A827821",,"2021-01-05T18:14:00.000","2021-01-05T18:14:00.000","2018-12-31T00:00:00.000","Adoption",,"Dog","Neutered Male","2 years","Chihuahua Shorthair","White/Brown"
"A824110","Baby","2021-01-05T18:06:00.000","2021-01-05T18:06:00.000","2018-10-06T00:00:00.000","Adoption",,"Dog","Neutered Male","2 years","Pit Bull Mix","Chocolate/White"
"A827712",,"2021-01-05T17:47:00.000","2021-01-05T17:47:00.000","2020-02-29T00:00:00.000",,,"Dog","Spayed Female","10 months","German Shepherd","Tan/Black"
"A825836","*Lionel","2021-01-05T17:26:00.000","2021-01-05T17:26:00.000","2018-11-13T00:00:00.000","Adoption",,"Cat","Neutered Male","2 years","Domestic Shorthair","Cream Tabby"
"A812591","Cookie","2021-01-05T17:25:00.000","2021-01-05T17:25:00.000","2019-06-26T00:00:00.000",,,"Dog","Spayed Female","1 year","American Bulldog Mix","White/Black"
"A827808","*Millie","2021-01-05T17:25:00.000","2021-01-05T17:25:00.000","2018-12-31T00:00:00.000",,,"Dog","Spayed Female","2 years","Miniature Poodle Mix","White"
"A827986","Toro","2021-01-05T14:51:00.000","2021-01-05T14:51:00.000","2020-01-05T00:00:00.000","Transfer","Partner","Dog","Intact Male","1 year","Chihuahua Shorthair","Black"
"A827933","Lady Bird","2021-01-05T14:32:00.000","2021-01-05T14:32:00.000","2013-01-04T00:00:00.000","Return to Owner",,"Dog","Spayed Female","8 years","Jack Russell Terrier/Rat Terrier","Black/White"
"A826674","*Nicola","2021-01-05T14:00:00.000","2021-01-05T14:00:00.000","2015-12-03T00:00:00.000","Adoption",,"Cat","Spayed Female","5 years","Domestic Shorthair Mix","Tortie"
"A827989","Max","2021-01-05T13:54:00.000","2021-01-05T13:54:00.000","2014-01-05T00:00:00.000","Return to Owner",,"Dog","Intact Male","7 years","Shih Tzu/French Bulldog","White/Black"
"A827802","Snow Bear","2021-01-05T13:30:00.000","2021-01-05T13:30:00.000","2009-12-31T00:00:00.000","Euthanasia","Suffering","Dog","Neutered Male","11 years","Great Pyrenees","White/Tan"
"A827835",,"2021-01-05T13:29:00.000","2021-01-05T13:29:00.000","2019-12-31T00:00:00.000","Euthanasia","At Vet","Dog","Unknown","1 year","Basset Hound Mix","Brown/White"
"A827976",,"2021-01-05T13:10:00.000","2021-01-05T13:10:00.000","2020-11-04T00:00:00.000","Transfer","Partner","Dog","Intact Female","2 months","Chihuahua Shorthair","White/Brown"
"A826161","Boots","2021-01-05T12:52:00.000","2021-01-05T12:52:00.000","2019-11-20T00:00:00.000","Transfer","Partner","Cat","Spayed Female","1 year","Domestic Shorthair Mix","Black/White"
"A824106","Stella","2021-01-05T12:51:00.000","2021-01-05T12:51:00.000","2014-11-24T00:00:00.000","Transfer","Partner","Cat","Spayed Female","6 years","Domestic Shorthair Mix","Brown Tabby"
"A827053",,"2021-01-05T12:26:00.000","2021-01-05T12:26:00.000","2020-09-26T00:00:00.000","Adoption","Foster","Cat","Spayed Female","3 months","Domestic Shorthair","Brown Tabby"
"A827249","*Tofu","2021-01-05T11:49:00.000","2021-01-05T11:49:00.000","2018-12-17T00:00:00.000","Adoption",,"Dog","Neutered Male","2 years","Boxer","Brown/White"
"A825236","*Napoleon","2021-01-05T11:48:00.000","2021-01-05T11:48:00.000","2020-08-09T00:00:00.000","Adoption",,"Cat","Neutered Male","4 months","Domestic Shorthair","Brown Tabby"
"A825479","*Pablo","2021-01-05T11:47:00.000","2021-01-05T11:47:00.000","2020-08-27T00:00:00.000","Adoption",,"Cat","Neutered Male","4 months","Domestic Shorthair","Brown Tabby"
"A827823","Winnie","2021-01-05T11:22:00.000","2021-01-05T11:22:00.000","2010-12-31T00:00:00.000","Transfer","Partner","Dog","Spayed Female","10 years","Maltese","White/White"
"A816148","*Magoo","2021-01-05T09:14:00.000","2021-01-05T09:14:00.000","2020-02-23T00:00:00.000","Adoption","Foster","Dog","Neutered Male","10 months","Black Mouth Cur Mix","Red"
"A822914","*Shirley","2021-01-05T07:34:00.000","2021-01-05T07:34:00.000","2020-07-27T00:00:00.000","Adoption","Foster","Cat","Spayed Female","5 months","Domestic Shorthair","Black"
"A827193","*Victoria","2021-01-04T17:58:00.000","2021-01-04T17:58:00.000","2019-12-15T00:00:00.000","Adoption",,"Cat","Spayed Female","1 year","Domestic Medium Hair","Calico"
"A827968",,"2021-01-04T17:50:00.000","2021-01-04T17:50:00.000","2019-01-04T00:00:00.000","Euthanasia","Rabies Risk","Other","Unknown","2 years","Bat","Brown"
"A827914","Coco Bean","2021-01-04T14:21:00.000","2021-01-04T14:21:00.000","2019-03-03T00:00:00.000","Return to Owner",,"Dog","Intact Female","1 year","Boxer","Brown/White"
"A827461","Marley","2021-01-04T13:59:00.000","2021-01-04T13:59:00.000","2020-03-13T00:00:00.000","Adoption",,"Dog","Neutered Male","9 months","Australian Cattle Dog","Red/White"
"A827228","*Wreath","2021-01-04T12:46:00.000","2021-01-04T12:46:00.000","2020-11-10T00:00:00.000","Died","In Foster","Cat","Intact Female","1 month","Domestic Shorthair","Calico"
"A827875",,"2021-01-04T11:52:00.000","2021-01-04T11:52:00.000","2020-01-02T00:00:00.000","Transfer","Partner","Dog","Intact Male","1 year","Labrador Retriever","Tan"
"A827374","Sparky","2021-01-04T11:13:00.000","2021-01-04T11:13:00.000","2007-12-19T00:00:00.000","Adoption",,"Dog","Neutered Male","13 years","Chihuahua Shorthair","Brown/White"
"A827033","*Audrey","2021-01-03T17:42:00.000","2021-01-03T17:42:00.000","2020-06-11T00:00:00.000","Adoption",,"Cat","Spayed Female","6 months","Domestic Shorthair","Black/White"
"A817134","Layla","2021-01-03T17:42:00.000","2021-01-03T17:42:00.000","2018-05-08T00:00:00.000","Adoption",,"Dog","Spayed Female","2 years","Pit Bull","Blue/White"
"A827180","*Esther","2021-01-03T17:37:00.000","2021-01-03T17:37:00.000","2020-07-15T00:00:00.000","Adoption",,"Cat","Spayed Female","5 months","Domestic Shorthair Mix","Blue/White"
"A827909",,"2021-01-03T16:39:00.000","2021-01-03T16:39:00.000","2020-01-03T00:00:00.000","Euthanasia","Rabies Risk","Other","Unknown","1 year","Bat","Brown"
"A826963","*Bakugou","2021-01-03T16:12:00.000","2021-01-03T16:12:00.000","2020-06-09T00:00:00.000","Adoption",,"Cat","Neutered Male","6 months","Domestic Shorthair","Orange Tabby/White"
"A827651",,"2021-01-03T14:50:00.000","2021-01-03T14:50:00.000","2019-12-28T00:00:00.000","Transfer","Partner","Dog","Intact Male","1 year","Soft Coated Wheaten Terrier","Tan"
"A827653",,"2021-01-03T14:50:00.000","2021-01-03T14:50:00.000","2017-12-28T00:00:00.000","Transfer","Partner","Dog","Intact Female","3 years","Miniature Schnauzer","Gray"
"A827652",,"2021-01-03T14:50:00.000","2021-01-03T14:50:00.000","2017-12-28T00:00:00.000","Transfer","Partner","Dog","Intact Female","3 years","Miniature Schnauzer","Gray/Tan"
"A821201","Prince","2021-01-03T14:43:00.000","2021-01-03T14:43:00.000","2019-08-06T00:00:00.000","Adoption",,"Dog","Neutered Male","1 year","Smooth Fox Terrier Mix","White/Blue Merle"
"A714015","Opie","2021-01-03T14:14:00.000","2021-01-03T14:14:00.000","2013-10-16T00:00:00.000","Return to Owner",,"Dog","Neutered Male","7 years","Chihuahua Shorthair Mix","Tan"
"A792834","Sheba","2021-01-03T14:13:00.000","2021-01-03T14:13:00.000","2014-04-17T00:00:00.000","Adoption",,"Dog","Spayed Female","6 years","Pit Bull","Black Brindle/White"
"A827567","*Louie","2021-01-03T11:55:00.000","2021-01-03T11:55:00.000","2018-12-25T00:00:00.000","Adoption",,"Dog","Neutered Male","2 years","Miniature Poodle","Gray/White"
"A825533","Lani","2021-01-03T11:25:00.000","2021-01-03T11:25:00.000","2019-12-05T00:00:00.000","Return to Owner",,"Dog","Spayed Female","1 year","Plott Hound","Brown/Black"
"A827862",,"2021-01-03T10:29:00.000","2021-01-03T10:29:00.000","2020-01-02T00:00:00.000","Euthanasia","Rabies Risk","Other","Unknown","1 year","Raccoon","Black/Gray"
"A826662","*Spicy","2021-01-02T17:40:00.000","2021-01-02T17:40:00.000","2020-03-03T00:00:00.000","Adoption",,"Cat","Spayed Female","10 months","Domestic Shorthair","Orange Tabby/White"
"A827870",,"2021-01-02T17:21:00.000","2021-01-02T17:21:00.000","2020-05-02T00:00:00.000","Transfer","Partner","Dog","Intact Male","8 months","Chihuahua Shorthair","White/Tricolor"
"A827447","Pebbles","2021-01-02T17:10:00.000","2021-01-02T17:10:00.000","2020-02-22T00:00:00.000","Rto-Adopt",,"Dog","Spayed Female","10 months","Beagle/Catahoula","Tan/White"
"A824774","Blackie","2021-01-02T17:01:00.000","2021-01-02T17:01:00.000","2017-12-16T00:00:00.000","Return to Owner",,"Dog","Neutered Male","3 years","Chihuahua Shorthair","Black"
"A827138","Fluffers","2021-01-02T15:29:00.000","2021-01-02T15:29:00.000","2015-12-14T00:00:00.000","Adoption",,"Cat","Neutered Male","5 years","Domestic Longhair","Blue/White"
"A826046","Lewis","2021-01-02T15:03:00.000","2021-01-02T15:03:00.000","2020-10-27T00:00:00.000","Adoption","Foster","Dog","Neutered Male","2 months","Chihuahua Shorthair Mix","Black"
"A826045","Bowie","2021-01-02T15:02:00.000","2021-01-02T15:02:00.000","2020-10-27T00:00:00.000","Adoption","Foster","Dog","Neutered Male","2 months","Chihuahua Shorthair Mix","Black/White"
"A826044","Pip","2021-01-02T15:01:00.000","2021-01-02T15:01:00.000","2020-10-27T00:00:00.000","Adoption","Foster","Dog","Neutered Male","2 months","Chihuahua Shorthair Mix","Black"
"A826043","Pacman","2021-01-02T14:59:00.000","2021-01-02T14:59:00.000","2020-10-27T00:00:00.000","Adoption","Foster","Dog","Neutered Male","2 months","Chihuahua Shorthair Mix","Chocolate"
"A827857","Tokyo","2021-01-02T14:55:00.000","2021-01-02T14:55:00.000","2020-07-02T00:00:00.000","Return to Owner",,"Dog","Intact Male","6 months","Pit Bull","Black/White"
"A827856",,"2021-01-02T13:33:00.000","2021-01-02T13:33:00.000","2019-01-01T00:00:00.000","Return to Owner",,"Dog","Intact Male","2 years","Great Pyrenees","Brown/White"
"A827771","Kiskar","2021-01-02T13:27:00.000","2021-01-02T13:27:00.000","2018-12-30T00:00:00.000","Return to Owner",,"Dog","Intact Male","2 years","Australian Cattle Dog Mix","Black/White"
"A827657","Twix","2021-01-02T13:13:00.000","2021-01-02T13:13:00.000","2019-12-28T00:00:00.000","Transfer","Partner","Dog","Intact Male","1 year","Chihuahua Shorthair","Brown/White"
"A827715","Smokey","2021-01-02T13:12:00.000","2021-01-02T13:12:00.000","2019-12-29T00:00:00.000","Transfer","Partner","Dog","Intact Male","1 year","Chihuahua Shorthair","Black"
"A827662","Bitsy","2021-01-02T13:12:00.000","2021-01-02T13:12:00.000","2019-06-28T00:00:00.000","Transfer","Partner","Dog","Intact Female","1 year","Chihuahua Shorthair","Brown/White"
"A827643",,"2021-01-02T13:04:00.000","2021-01-02T13:04:00.000","2020-09-13T00:00:00.000","Transfer","Partner","Dog","Intact Female","3 months","Chihuahua Shorthair","Tan"
"A827642",,"2021-01-02T13:03:00.000","2021-01-02T13:03:00.000","2020-09-13T00:00:00.000","Transfer","Partner","Dog","Intact Male","3 months","Chihuahua Shorthair Mix","Tan"
"A823989","*Fred","2021-01-02T12:52:00.000","2021-01-02T12:52:00.000","2020-09-03T00:00:00.000","Adoption","Foster","Cat","Neutered Male","3 months","Domestic Shorthair","Brown Tabby/White"
"A824195","*Finley","2021-01-02T12:52:00.000","2021-01-02T12:52:00.000","2020-08-24T00:00:00.000","Adoption","Foster","Cat","Neutered Male","4 months","Domestic Shorthair Mix","Blue Tabby"
"A827770","Bella","2021-01-02T12:51:00.000","2021-01-02T12:51:00.000","2013-12-30T00:00:00.000","Return to Owner",,"Dog","Spayed Female","7 years","Pit Bull","White/Brown"
"A826984","Wyatt","2021-01-02T12:26:00.000","2021-01-02T12:26:00.000","2016-08-10T00:00:00.000","Return to Owner",,"Dog","Neutered Male","4 years","Alaskan Husky/German Shepherd","Black/White"
"A826983","Max","2021-01-02T12:25:00.000","2021-01-02T12:25:00.000","2017-02-10T00:00:00.000","Return to Owner",,"Dog","Neutered Male","3 years","Beagle","Tricolor"
"A825177","*Bacon","2021-01-02T12:18:00.000","2021-01-02T12:18:00.000","2018-10-29T00:00:00.000","Adoption",,"Cat","Neutered Male","2 years","Domestic Shorthair","Brown Tabby/White"
"A827173","*Dyson","2021-01-02T12:17:00.000","2021-01-02T12:17:00.000","2017-12-15T00:00:00.000","Adoption",,"Dog","Neutered Male","3 years","Great Pyrenees/Golden Retriever","White/Tan"
"A827861","Ozzie","2021-01-02T12:10:00.000","2021-01-02T12:10:00.000","2001-01-02T00:00:00.000","Return to Owner","Field","Dog","Neutered Male","20 years","Tibetan Terrier","Black"
"A818048","*Lars","2021-01-02T11:48:00.000","2021-01-02T11:48:00.000","2018-06-01T00:00:00.000","Transfer","Partner","Cat","Neutered Male","2 years","Domestic Shorthair","Brown Tabby/White"
"A823296","*Bluebell","2021-01-02T11:43:00.000","2021-01-02T11:43:00.000","2020-04-23T00:00:00.000","Adoption","Foster","Cat","Spayed Female","8 months","Domestic Shorthair","Blue/White"
"A824317","*Eddie Brock","2021-01-02T11:29:00.000","2021-01-02T11:29:00.000","2016-10-12T00:00:00.000","Adoption","Foster","Cat","Neutered Male","4 years","Domestic Shorthair","Brown Tabby"
"A827859","Peluchin","2021-01-02T11:18:00.000","2021-01-02T11:18:00.000","2020-11-02T00:00:00.000","Transfer","Partner","Dog","Intact Male","1 month","Pomeranian Mix","Red/White"
"A827581","*Mitsuki","2021-01-02T11:13:00.000","2021-01-02T11:13:00.000","2020-09-26T00:00:00.000","Transfer","Partner","Cat","Intact Female","3 months","Domestic Shorthair","Tortie"
"A827498","*Joey","2021-01-02T11:12:00.000","2021-01-02T11:12:00.000","2018-12-23T00:00:00.000","Transfer","Partner","Dog","Neutered Male","2 years","Chihuahua Shorthair","Fawn"
"A826583",,"2021-01-02T10:22:00.000","2021-01-02T10:22:00.000","2020-11-02T00:00:00.000","Adoption","Foster","Cat","Neutered Male","1 month","Domestic Shorthair","Blue/White"
"A826588",,"2021-01-02T10:09:00.000","2021-01-02T10:09:00.000","2020-11-02T00:00:00.000","Adoption","Foster","Cat","Neutered Male","1 month","Domestic Shorthair","Black/White"
"A826585",,"2021-01-02T10:07:00.000","2021-01-02T10:07:00.000","2020-11-02T00:00:00.000","Adoption","Foster","Cat","Neutered Male","1 month","Domestic Shorthair","Black/White"
"A826587",,"2021-01-02T09:59:00.000","2021-01-02T09:59:00.000","2020-11-02T00:00:00.000","Adoption","Foster","Cat","Spayed Female","1 month","Domestic Shorthair","Black/White"
